  MODEL =   modelo1.osc                                                                                         

  Mass =    1.000
  Log Teff =    3.7626
  Log g =    4.4377

  L   MODE    Omega2   FREC(muHz)   PER(d)    Q(d)     NP    NG
  0.   1     6.69371   258.34771      0.0448    0.0448     1     0
  0.   2    16.36340   403.93179      0.0287    0.0287     2     0
  0.   3    28.76617   535.56518      0.0216    0.0216     3     0
  0.   4    46.36730   679.95040      0.0170    0.0170     4     0
  0.   5    68.21210   824.71148      0.0140    0.0140     5     0
  0.   6    94.73682   971.92043      0.0119    0.0119     6     0
  0.   7   125.14133  1117.04766      0.0104    0.0104     7     0
  0.   8   159.83821  1262.44254      0.0092    0.0092     8     0
  0.   9   198.36713  1406.39128      0.0082    0.0082     9     0
  0.  10   240.13745  1547.39525      0.0075    0.0075    10     0
  0.  11   284.97738  1685.68533      0.0069    0.0069    11     0
  0.  12   332.56183  1820.98981      0.0064    0.0064    12     0
  0.  13   383.81998  1956.29841      0.0059    0.0059    13     0
  0.  14   439.00859  2092.22228      0.0055    0.0055    14     0
  0.  15   497.62579  2227.52587      0.0052    0.0052    15     0
  0.  16   559.58233  2362.12737      0.0049    0.0049    16     0
  0.  17   624.68541  2495.75526      0.0046    0.0046    17     0
  0.  18   693.57339  2629.76854      0.0044    0.0044    18     0
  0.  19   766.70783  2764.94353      0.0042    0.0042    19     0
  0.  20   843.70207  2900.45326      0.0040    0.0040    20     0
  0.  21   924.61048  3036.34224      0.0038    0.0038    21     0
  0.  22  1009.24309  3172.26315      0.0036    0.0036    22     0
  0.  23  1097.66888  3308.31604      0.0035    0.0035    23     0
  0.  24  1190.25362  3445.01463      0.0034    0.0034    24     0
  0.  25  1286.77444  3581.97482      0.0032    0.0032    25     0
  1.  -1     6.92911   262.85121      0.0440    0.0440     0     1
  1.   1    20.14847   448.22112      0.0258    0.0258     2     1
  1.   4    55.83879   746.17266      0.0155    0.0155     4     0
  1.   5    79.95767   892.89702      0.0130    0.0130     5     0
  1.   6   108.21279  1038.74897      0.0111    0.0111     6     0
  1.   7   140.71708  1184.52635      0.0098    0.0098     7     0
  1.   8   177.01974  1328.56302      0.0087    0.0087     8     0
  1.   9   217.27403  1471.88955      0.0079    0.0079     9     0
  1.  10   260.45582  1611.52984      0.0072    0.0072    10     0
  1.  11   306.53377  1748.27793      0.0066    0.0066    11     0
  1.  12   355.94330  1883.91684      0.0061    0.0061    12     0
  1.  13   408.98478  2019.41180      0.0057    0.0057    13     0
  1.  14   466.02293  2155.63368      0.0054    0.0054    14     0
  1.  15   526.35174  2290.91695      0.0051    0.0051    15     0
  1.  16   589.74130  2424.94608      0.0048    0.0048    16     0
  1.  17   656.78201  2559.06867      0.0045    0.0045    17     0
  1.  18   727.68778  2693.66668      0.0043    0.0043    18     0
  1.  19   802.78521  2829.24786      0.0041    0.0041    19     0
  1.  20   881.82915  2965.26520      0.0039    0.0039    20     0
  1.  21   964.49473  3101.13908      0.0037    0.0037    21     0
  1.  22  1051.09642  3237.37191      0.0036    0.0036    22     0
  1.  23  1141.54962  3373.79517      0.0034    0.0034    23     0
  1.  24  1236.06229  3510.68201      0.0033    0.0033    24     0
  2. -10     1.04624   102.13774      0.1133    0.1133     0    10
  2.  -9     1.24348   111.35017      0.1039    0.1039     0     9
  2.  -8     1.49799   122.21538      0.0947    0.0947     0     8
  2.  -7     1.83286   135.18741      0.0856    0.0856     0     7
  2.  -6     2.28399   150.91016      0.0767    0.0767     0     6
  2.  -5     2.90286   170.13125      0.0680    0.0680     0     5
  2.  -4     3.77137   193.91919      0.0597    0.0597     0     4
  2.  -3     4.94253   221.99650      0.0521    0.0521     0     3
  2.  -2     6.57962   256.13666      0.0452    0.0452     0     2
  2.  -1     8.79741   296.17521      0.0391    0.0391     0     1
  2.   0    12.70545   355.93140      0.0325    0.0325     1     1
  2.   1    14.80728   384.24559      0.0301    0.0301     1     0
  2.   2    26.54118   514.43605      0.0225    0.0225     2     0
  2.   3    44.20995   663.94383      0.0174    0.0174     3     0
  2.   4    66.01100   811.29623      0.0143    0.0143     4     0
  2.   5    92.26204   959.14184      0.0121    0.0121     5     0
  2.   6   122.28388  1104.22078      0.0105    0.0105     6     0
  2.   7   156.64338  1249.76207      0.0093    0.0093     7     0
  2.   8   194.76569  1393.56599      0.0083    0.0083     8     0
  2.   9   236.29784  1534.97461      0.0075    0.0075     9     0
  2.  10   280.90364  1673.59357      0.0069    0.0069    10     0
  2.  11   328.24352  1809.12841      0.0064    0.0064    11     0
  2.  12   379.29318  1944.72785      0.0060    0.0060    12     0
  2.  13   434.23415  2080.81420      0.0056    0.0056    13     0
  2.  14   492.72315  2216.52585      0.0052    0.0052    14     0
  2.  15   554.59164  2351.57033      0.0049    0.0049    15     0
  2.  16   619.55590  2485.48739      0.0047    0.0047    16     0
  2.  17   688.33661  2619.82179      0.0044    0.0044    17     0
  2.  18   761.33584  2755.24010      0.0042    0.0042    18     0
  2.  19   838.23460  2891.04004      0.0040    0.0040    19     0
  2.  20   919.09592  3027.27403      0.0038    0.0038    20     0
  2.  21  1003.64782  3163.45738      0.0037    0.0037    21     0
  2.  22  1092.02701  3299.80293      0.0035    0.0035    22     0
  2.  23  1184.54989  3436.75042      0.0034    0.0034    23     0
  2.  24  1281.00570  3573.93661      0.0032    0.0032    24     0
  3. -14     1.07776   103.66488      0.1116    0.1116     0    14
  3. -13     1.22165   110.36843      0.1049    0.1049     0    13
  3. -12     1.39525   117.94963      0.0981    0.0981     0    12
  3. -11     1.60682   126.57685      0.0914    0.0914     0    11
  3. -10     1.86811   136.48116      0.0848    0.0848     0    10
  3.  -9     2.19589   147.97115      0.0782    0.0782     0     9
  3.  -8     2.61148   161.36687      0.0717    0.0717     0     8
  3.  -7     3.14476   177.07813      0.0654    0.0654     0     7
  3.  -6     3.83719   195.60423      0.0592    0.0592     0     6
  3.  -5     4.71425   216.80911      0.0534    0.0534     0     5
  3.  -4     5.70410   238.48714      0.0485    0.0485     0     4
  3.  -3     6.84319   261.21642      0.0443    0.0443     0     3
  3.  -2     8.80651   296.32841      0.0391    0.0391     0     2
  3.  -1    11.57865   339.78191      0.0341    0.0341     0     1
  3.   0    15.84504   397.48252      0.0291    0.0291     1     1
  3.   1    17.37806   416.26702      0.0278    0.0278     1     0
  3.   2    31.95799   564.49626      0.0205    0.0205     2     0
  3.   3    51.71363   718.08162      0.0161    0.0161     3     0
  3.   4    75.26641   866.30720      0.0134    0.0134     4     0
  3.   5   103.18353  1014.32355      0.0114    0.0114     5     0
  3.   6   135.10524  1160.66638      0.0100    0.0100     6     0
  3.   7   171.00472  1305.79610      0.0089    0.0089     7     0
  3.   8   210.86458  1450.01712      0.0080    0.0080     8     0
  3.   9   253.69105  1590.46418      0.0073    0.0073     9     0
  3.  10   299.53865  1728.21493      0.0067    0.0067    10     0
  3.  11   348.50558  1864.12995      0.0062    0.0062    11     0
  3.  12   401.14558  1999.96466      0.0058    0.0058    12     0
  3.  13   457.86606  2136.68521      0.0054    0.0054    13     0
  3.  14   517.88771  2272.42269      0.0051    0.0051    14     0
  3.  15   581.09548  2407.10516      0.0048    0.0048    15     0
  3.  16   647.84407  2541.59624      0.0046    0.0046    16     0
  3.  17   718.43352  2676.48373      0.0043    0.0043    17     0
  3.  18   793.32087  2812.52088      0.0041    0.0041    18     0
  3.  19   872.13072  2948.91400      0.0039    0.0039    19     0
  3.  20   954.65129  3085.27369      0.0038    0.0038    20     0
  3.  21  1041.10571  3221.94950      0.0036    0.0036    21     0
  3.  22  1131.37687  3358.72898      0.0034    0.0034    22     0
  3.  23  1225.78572  3496.05772      0.0033    0.0033    23     0
  3.  24  1324.29589  3633.82351      0.0032    0.0032    24     0
