  MODEL =   modelo2.osc                                                                                         

  Mass =    1.000
  Log Teff =    3.7611
  Log g =    4.4442

  L   MODE    Omega2   FREC(muHz)   PER(d)    Q(d)     NP    NG
  0.   1     6.67632   260.93742      0.0444    0.0449     1     0
  0.   2    16.27532   407.41067      0.0284    0.0287     2     0
  0.   3    28.70929   541.10173      0.0214    0.0216     3     0
  0.   4    46.32740   687.36375      0.0168    0.0170     4     0
  0.   5    68.17847   833.85646      0.0139    0.0140     5     0
  0.   6    94.70967   982.79931      0.0118    0.0119     6     0
  0.   7   125.11551  1129.59628      0.0102    0.0104     7     0
  0.   8   159.78895  1276.55947      0.0091    0.0092     8     0
  0.   9   198.22794  1421.83800      0.0081    0.0082     9     0
  0.  10   239.87591  1564.08733      0.0074    0.0075    10     0
  0.  11   284.59175  1703.64396      0.0068    0.0069    11     0
  0.  12   332.14331  1840.47719      0.0063    0.0064    12     0
  0.  13   383.53739  1977.75065      0.0059    0.0059    13     0
  0.  14   438.88699  2115.65104      0.0055    0.0055    14     0
  0.  15   497.53429  2252.57463      0.0051    0.0052    15     0
  0.  16   559.40715  2388.53543      0.0048    0.0049    16     0
  0.  17   624.45281  2523.58242      0.0046    0.0046    17     0
  0.  18   693.37285  2659.20059      0.0044    0.0044    18     0
  0.  19   766.52292  2795.95550      0.0041    0.0042    19     0
  0.  20   843.46958  2932.93470      0.0039    0.0040    20     0
  0.  21   924.28583  3070.22943      0.0038    0.0038    21     0
  0.  22  1008.79934  3207.52520      0.0036    0.0036    22     0
  0.  23  1097.15483  3345.04252      0.0035    0.0035    23     0
  0.  24  1189.70604  3483.27301      0.0033    0.0034    24     0
  0.  25  1286.18463  3621.75726      0.0032    0.0032    25     0
  1.   0     8.09901   287.39787      0.0403    0.0407     0     0
  1.   3    35.66275   603.08026      0.0192    0.0194     3     0
  1.   7   140.67168  1197.76334      0.0097    0.0098     7     0
  1.  16   589.53887  2452.01941      0.0047    0.0048    16     0
  1.  17   656.57436  2587.67448      0.0045    0.0045    17     0
  1.  18   727.50453  2723.86470      0.0042    0.0043    18     0
  1.  19   802.59821  2860.99287      0.0040    0.0041    19     0
  1.  20   881.55965  2998.42738      0.0039    0.0039    20     0
  1.  21   964.10985  3135.67427      0.0037    0.0037    21     0
  1.  22  1050.61404  3273.32617      0.0035    0.0036    22     0
  1.  23  1141.00509  3411.23370      0.0034    0.0034    23     0
  1.  24  1235.49164  3549.66679      0.0033    0.0033    24     0
  2. -10     0.99665   100.81822      0.1148    0.1161     0    10
  2.  -9     1.18525   109.94410      0.1053    0.1065     0     9
  2.  -8     1.42923   120.73095      0.0959    0.0969     0     8
  2.  -7     1.75113   133.63706      0.0866    0.0876     0     7
